AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,,
42.342131171567964,67.66234420136104,46.041306509846066,48.98861573874616,78.0974709223851,53.25760643819079,22.402677470033364,36.35696403828889,24.392406724811874,1.0,1.0,probabilities,1.0,0.0,1.0,65.0,2021-07-29 17:15:29,2021-07-29 17:16:35
36.546625916391584,57.752400042266174,39.31646490715771,44.691753792049525,70.34557995579854,48.00694975191815,12.11124228941777,19.972860301669023,13.245010372876369,1.0,1.0,probabilities,0.0,1.0,1.0,68.0,2021-07-29 17:13:40,2021-07-29 17:14:49
36.546625916391584,57.752400042266174,39.31646490715771,44.691753792049525,70.34557995579854,48.00694975191815,12.11124228941777,19.972860301669023,13.245010372876369,1.0,1.0,probabilities,0.0,0.0,1.0,65.0,2021-07-29 17:17:13,2021-07-29 17:18:18
36.34369899751801,56.28000225375016,39.834696503556415,43.54949868355046,67.70381081623965,47.66801470676157,14.726299939420722,22.008576566281743,16.334741893940944,1.0,1.0,probabilities,1.0,0.0,0.0,58.0,2021-07-29 17:21:57,2021-07-29 17:22:56
34.511588365131345,53.373910212650344,38.036508448618996,43.26672059284718,67.15849570337645,47.50882940188065,8.24619168198384,12.020153740472036,9.619545588834004,1.0,1.0,embeddings,1.0,0.0,1.0,40.0,2021-07-29 17:14:49,2021-07-29 17:15:29
29.637835317089362,45.86969306220826,32.39861724647882,37.035367615903574,57.38413894464339,40.338420763962056,7.445238420646727,11.326355414902865,8.57920669402912,1.0,1.0,embeddings,1.0,1.0,1.0,41.0,2021-07-29 17:11:13,2021-07-29 17:11:55
21.672220664807796,32.479918799389885,24.21166410466783,28.31649788765144,42.44333468772663,31.502503404191057,1.7393889962768694,2.589671134379633,2.3391462060981687,1.0,1.0,embeddings,1.0,0.0,0.0,32.0,2021-07-29 17:21:25,2021-07-29 17:21:57
13.16984737965807,19.85555231876223,13.914052004091184,15.881019013878026,23.517589703213453,16.70317943538321,5.036332476998188,8.869440165408566,5.5466697102151015,1.0,1.0,probabilities,0.0,1.0,0.0,60.0,2021-07-29 17:20:24,2021-07-29 17:21:25
13.16984737965807,19.85555231876223,13.914052004091184,15.881019013878026,23.517589703213453,16.70317943538321,5.036332476998188,8.869440165408566,5.5466697102151015,1.0,1.0,probabilities,0.0,0.0,0.0,60.0,2021-07-29 17:23:26,2021-07-29 17:24:27
9.129758642796691,16.597447791329493,8.596821550559435,9.322983431255924,17.44546969112234,8.562546858765353,8.550084277418994,14.05338209195096,8.699645625941676,1.0,1.0,probabilities,1.0,1.0,1.0,64.0,2021-07-29 17:11:55,2021-07-29 17:13:00
8.385603105037331,13.374812306387899,8.991572244951598,10.485506842682916,16.755719419057165,11.173731934243953,2.085891892100573,3.232090968380084,2.4450931770745314,1.0,1.0,embeddings,0.0,1.0,1.0,40.0,2021-07-29 17:13:00,2021-07-29 17:13:40
8.385603105037331,13.374812306387899,8.991572244951598,10.485506842682916,16.755719419057165,11.173731934243953,2.085891892100573,3.232090968380084,2.4450931770745314,1.0,1.0,embeddings,0.0,0.0,1.0,38.0,2021-07-29 17:16:35,2021-07-29 17:17:13
2.9366373957065077,4.104883059150446,3.0121171884340376,3.7855590106966126,5.261593904350586,3.8707774916925244,0.38987255073619187,0.6347505235500287,0.4361362786585783,1.0,1.0,embeddings,1.0,1.0,0.0,32.0,2021-07-29 17:18:18,2021-07-29 17:18:51
2.6326555264850464,5.574858074022621,2.082470361746397,2.5802458904884906,5.580594156540952,1.99855006087539,2.7898844344747133,5.557649826467626,2.334231264359418,1.0,1.0,probabilities,1.0,1.0,0.0,61.0,2021-07-29 17:18:51,2021-07-29 17:19:53
1.929810160174306,3.0172678498865784,2.04142205918285,2.510888087853135,3.9013443614892895,2.6671797338464014,0.18657637713781797,0.36503831507844675,0.1641490351921971,1.0,1.0,embeddings,0.0,1.0,0.0,31.0,2021-07-29 17:19:53,2021-07-29 17:20:24
1.929810160174306,3.0172678498865784,2.04142205918285,2.510888087853135,3.9013443614892895,2.6671797338464014,0.18657637713781797,0.36503831507844675,0.1641490351921971,1.0,1.0,embeddings,0.0,0.0,0.0,30.0,2021-07-29 17:22:56,2021-07-29 17:23:26
