AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,time_elapsed,time_from,time_to,use_classification_layer,use_laplacianshot,embeddings_type,knn,lambda_factor,leverage_classification,rectify_prototypes,support_augmentation
42.823558488284746,68.3981413495501,46.24208024542669,49.541845056280124,78.79667076679334,53.443032438758934,22.6686987842986,37.20255309782039,24.63922366542994,55.0,2021-08-24 11:11:33,2021-08-24 11:12:28,1.0,1.0,embeddings,1.0,0.3,1.0,0.0,0.0
42.82058673972043,68.33174321964427,46.158557109209234,49.6036333260509,78.76631628794067,53.39651313093712,22.47144698072903,37.028024014755125,24.444689044025587,54.0,2021-08-24 10:40:53,2021-08-24 10:41:48,1.0,1.0,embeddings,1.0,0.3,1.0,1.0,0.0
42.805023217000695,68.30988460417048,46.13488635340654,49.5972989067564,78.7935436272122,53.37723556541423,22.42819614773356,36.858907535045276,24.407838717383502,69.0,2021-08-24 10:50:36,2021-08-24 10:51:45,1.0,1.0,embeddings,5.0,0.3,1.0,1.0,0.0
42.80420083394516,68.39096247165246,46.196084119902125,49.5232238900435,78.80278110548825,53.387096969706285,22.647131665650175,37.1555065701451,24.62304557048966,57.0,2021-08-24 11:12:28,2021-08-24 11:13:26,1.0,1.0,embeddings,1.0,0.5,1.0,0.0,0.0
42.79758666638739,68.50013070197318,46.203188147268435,49.503143112963485,78.80151582018495,53.409817143731836,22.680917326659095,37.59597534733788,24.583301157878243,56.0,2021-08-24 11:14:22,2021-08-24 11:15:19,1.0,1.0,embeddings,1.0,1.5,1.0,0.0,0.0
42.790217422322065,68.34340843011077,46.130759401274204,49.57348998376089,78.79122907078741,53.36468493770617,22.44039973800555,36.99994650808087,24.428982791978243,59.0,2021-08-24 10:45:32,2021-08-24 10:46:31,1.0,1.0,embeddings,3.0,0.3,1.0,1.0,0.0
42.783941329596644,68.33223796300332,46.16027075052318,49.5542225987203,78.77399805874205,53.396942341846874,22.47309752222565,37.00695767578715,24.450255976552093,54.0,2021-08-24 10:41:48,2021-08-24 10:42:42,1.0,1.0,embeddings,1.0,0.5,1.0,1.0,0.0
42.78086192325737,68.32600160901134,46.156739380353464,49.55317355403201,78.77430516453703,53.39070037799558,22.463927030933448,36.98109094243431,24.45485638742712,55.0,2021-08-24 10:43:36,2021-08-24 10:44:32,1.0,1.0,embeddings,1.0,1.5,1.0,1.0,0.0
42.77868994321611,68.59514024361644,46.20835050882458,49.44822939480052,78.7987826455641,53.39340904288945,22.770071588462837,37.98421303777357,24.653174906629925,72.0,2021-08-24 11:21:47,2021-08-24 11:22:59,1.0,1.0,embeddings,5.0,0.3,1.0,0.0,0.0
42.7733835821854,68.29948426469878,46.11662821994721,49.559024818621964,78.78300073115726,53.33958497080798,22.41645987287571,36.84893486532342,24.44775796736489,58.0,2021-08-24 10:47:32,2021-08-24 10:48:30,1.0,1.0,embeddings,3.0,1.0,1.0,1.0,0.0
42.76582115356312,68.21802386485827,46.089407705649016,49.53065471334584,78.76834015236362,53.24240286024006,22.47132047421497,36.567075002342214,24.630422241875856,71.0,2021-08-24 11:25:22,2021-08-24 11:26:33,1.0,1.0,embeddings,5.0,1.5,1.0,0.0,0.0
42.76391025022341,68.37849112912882,46.20578051973649,49.46945450531643,78.78482174534227,53.401510808328254,22.64727748494433,37.15949928048848,24.6185896539612,56.0,2021-08-24 11:13:26,2021-08-24 11:14:22,1.0,1.0,embeddings,1.0,1.0,1.0,0.0,0.0
42.763245136664146,68.36122082343952,46.24326206969853,49.46068806636612,78.78361221314441,53.428089236558286,22.670916347558244,37.094046654324835,24.68878056911928,63.0,2021-08-24 11:16:24,2021-08-24 11:17:27,1.0,1.0,embeddings,3.0,0.3,1.0,0.0,0.0
42.7603542055448,68.26476715677461,46.13332722662152,49.57911187779746,78.78304396465192,53.39655455741374,22.30408118878685,36.70993673314264,24.343645234244896,59.0,2021-08-24 10:48:30,2021-08-24 10:49:30,1.0,1.0,embeddings,3.0,1.5,1.0,1.0,0.0
42.75608456396902,68.34165227329797,46.150444130014534,49.5163849605628,78.7785364213235,53.38046602478615,22.47518337418767,37.030999829221415,24.46037844569969,59.0,2021-08-24 10:44:32,2021-08-24 10:45:32,1.0,1.0,embeddings,3.0,0.1,1.0,1.0,0.0
42.75027238655941,68.34850243719498,46.16199616781735,49.5012355167532,78.77707410238423,53.38502594740155,22.49738299597809,37.06278744162728,24.492906829064715,54.0,2021-08-24 10:42:42,2021-08-24 10:43:36,1.0,1.0,embeddings,1.0,1.0,1.0,1.0,0.0
42.74700055308317,68.3913174330747,46.15543462540236,49.49555489735296,78.80387594539685,53.3752144706563,22.501337520273797,37.153641896108226,24.49609508964046,69.0,2021-08-24 10:51:45,2021-08-24 10:52:54,1.0,1.0,embeddings,5.0,0.5,1.0,1.0,0.0
42.74154021847565,68.33946571520083,46.15065980517614,49.51469147517039,78.79627947795237,53.394115715356925,22.42208644839144,36.96902442694621,24.42029207463381,60.0,2021-08-24 10:46:31,2021-08-24 10:47:32,1.0,1.0,embeddings,3.0,0.5,1.0,1.0,0.0
42.74060041423562,68.36994705937566,46.228914076301976,49.434667006928926,78.79643075425244,53.42040861644124,22.658400636155726,37.09049597474534,24.65443045588416,64.0,2021-08-24 11:15:19,2021-08-24 11:16:24,1.0,1.0,embeddings,3.0,0.1,1.0,0.0,0.0
42.73953450060999,68.3771698616122,46.097648608126036,49.46481512210763,78.79405563896286,53.267522730509356,22.56369263611708,37.12651252956031,24.58802624097609,61.0,2021-08-24 11:19:36,2021-08-24 11:20:38,1.0,1.0,embeddings,3.0,1.5,1.0,0.0,0.0
42.737878865025735,68.3485096954569,46.13505554094779,49.48622782282552,78.77119202285037,53.35935129474587,22.492831991626407,37.08046271327648,24.462168279553552,57.0,2021-08-24 10:39:56,2021-08-24 10:40:53,1.0,1.0,embeddings,1.0,0.1,1.0,1.0,0.0
42.73476374438177,68.35215465271827,46.21988552510875,49.43789506670191,78.79855122827459,53.409896270981044,22.625369777421366,37.0129649260493,24.649853287491904,64.0,2021-08-24 11:17:27,2021-08-24 11:18:32,1.0,1.0,embeddings,3.0,0.5,1.0,0.0,0.0
42.728689465161764,68.33727516262196,46.16490779671261,49.483796377351936,78.78455168987857,53.40363877416062,22.46336872859122,36.995445580852106,24.448714864368576,66.0,2021-08-24 10:49:30,2021-08-24 10:50:36,1.0,1.0,embeddings,5.0,0.1,1.0,1.0,0.0
42.727060767259886,68.42455913350838,46.11716151362105,49.41472686901046,78.8000148768205,53.267892457038855,22.664062462008168,37.298191903572025,24.664968683367686,71.0,2021-08-24 11:22:59,2021-08-24 11:24:11,1.0,1.0,embeddings,5.0,0.5,1.0,0.0,0.0
42.7101493708875,68.19765267378233,46.21875736826957,49.43970261154023,78.77574563227493,53.383829457900454,22.521489648929325,36.4633737983045,24.72354109937689,68.0,2021-08-24 10:54:03,2021-08-24 10:55:11,1.0,1.0,embeddings,5.0,1.5,1.0,1.0,0.0
42.70851399116118,68.38432065392213,46.2150491053127,49.38509752162874,78.77595913096184,53.39250727125809,22.67876339975854,37.209405222803056,24.682674607476567,68.0,2021-08-24 11:20:38,2021-08-24 11:21:47,1.0,1.0,embeddings,5.0,0.1,1.0,0.0,0.0
42.6947388436115,68.3989665377463,46.19893406711045,49.37087916919681,78.78194150447975,53.38114511188348,22.666317866855557,37.250041637546005,24.652300932791448,56.0,2021-08-24 11:10:37,2021-08-24 11:11:33,1.0,1.0,embeddings,1.0,0.1,1.0,0.0,0.0
42.693572751285956,68.42624171100167,46.20797239475922,49.372030358010605,78.80280980955112,53.39505107058774,22.658199931112,37.296537415353306,24.646736367273654,64.0,2021-08-24 11:18:32,2021-08-24 11:19:36,1.0,1.0,embeddings,3.0,1.0,1.0,0.0,0.0
42.67678347594621,68.30419617503058,46.06049913937049,49.40078764923787,78.78872708193103,53.221787199811466,22.504770956071216,36.85060345432924,24.576634958047585,68.0,2021-08-24 10:52:54,2021-08-24 10:54:03,1.0,1.0,embeddings,5.0,1.0,1.0,1.0,0.0
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,27.0,2021-08-24 10:39:28,2021-08-24 10:39:56,1.0,1.0,,,,,,
42.66123996254538,68.21493896081337,46.0586847180759,49.437929450450255,78.77123047660395,53.26057508579257,22.331171498830752,36.54606441344163,24.453013614925876,70.0,2021-08-24 11:24:11,2021-08-24 11:25:22,1.0,1.0,embeddings,5.0,1.0,1.0,0.0,0.0
41.809308279938634,66.56848820341312,45.13390905656916,49.237016755810856,78.21541219787612,53.16617351834416,19.526182852321995,31.627716220024148,21.03711567124419,72.0,2021-08-24 11:39:53,2021-08-24 11:41:05,1.0,1.0,embeddings,5.0,1.0,0.0,0.0,0.0
41.55476793705052,66.31845284934319,44.88421364635005,48.982726088593765,78.13537357078867,52.953001075552585,19.270893482420778,30.867690685006835,20.67785135874241,62.0,2021-08-24 11:35:22,2021-08-24 11:36:24,1.0,1.0,embeddings,3.0,1.5,0.0,0.0,0.0
41.504449698496785,65.95763850760453,44.884674553934346,49.15290103386339,78.1830804168466,53.03056392657004,18.559095692396973,29.281312779878345,20.44700643602723,69.0,2021-08-24 11:09:27,2021-08-24 11:10:37,1.0,1.0,embeddings,5.0,1.5,0.0,1.0,0.0
41.50057750435154,66.1099312341268,44.80353642696656,49.14450115124553,78.23396291250533,53.1166087391538,18.568806563669586,29.73783619899126,19.864319490404835,69.0,2021-08-24 11:08:18,2021-08-24 11:09:27,1.0,1.0,embeddings,5.0,1.0,0.0,1.0,0.0
41.44886669392291,65.91827768616692,44.74964019362424,49.196796655696936,78.23410471082165,53.08566444132727,18.20507680860083,28.970796612202673,19.74156745051513,62.0,2021-08-24 11:03:46,2021-08-24 11:04:48,1.0,1.0,embeddings,3.0,1.5,0.0,1.0,0.0
41.4194393873409,66.05365387275783,44.809630292738525,49.020636417007985,78.21536909859452,53.047120047773845,18.615848298339632,29.568508195247716,20.097161027632573,69.0,2021-08-24 11:41:05,2021-08-24 11:42:14,1.0,1.0,embeddings,5.0,1.5,0.0,0.0,0.0
41.38846695886592,65.8351653064688,44.63913183535925,49.18394632530445,78.18530432409801,53.08151214209764,18.00202885955037,28.784748253581206,19.31199091514409,69.0,2021-08-24 11:07:08,2021-08-24 11:08:18,1.0,1.0,embeddings,5.0,0.5,0.0,1.0,0.0
41.35120662646087,65.90176625388452,44.72325631385175,48.78194300447636,77.72764171136313,52.9006002551092,19.05899749241438,30.424139881448667,20.19122449007942,70.0,2021-08-24 11:38:42,2021-08-24 11:39:53,1.0,1.0,embeddings,5.0,0.5,0.0,0.0,0.0
41.32017595526136,65.79360632446756,44.59191939517531,49.13595234465344,78.19584924552396,53.09843371562457,17.872846787085148,28.58687756129844,19.072376433827525,54.0,2021-08-24 10:56:09,2021-08-24 10:57:03,1.0,1.0,embeddings,1.0,0.3,0.0,1.0,0.0
41.313370912046466,65.69227380677754,44.59268148838649,49.179355623573024,78.15824419677166,53.09367348832279,17.715416777466782,28.294362636795164,19.08970548857759,55.0,2021-08-24 10:57:59,2021-08-24 10:58:54,1.0,1.0,embeddings,1.0,1.0,0.0,1.0,0.0
41.30827947944017,65.8089982274137,44.76748767119362,48.7884057243879,77.69477669564048,52.92948874534188,18.867900744596984,30.151662822733307,20.281484448748834,61.0,2021-08-24 11:34:20,2021-08-24 11:35:22,1.0,1.0,embeddings,3.0,1.0,0.0,0.0,0.0
41.289432960833985,65.77669697645932,44.64933702074647,49.135158600589584,78.19500539888277,53.14184531530735,17.752256041567172,28.52177170918897,19.171812137063863,71.0,2021-08-24 11:04:48,2021-08-24 11:05:59,1.0,1.0,embeddings,5.0,0.1,0.0,1.0,0.0
41.28024403075691,65.77865348383415,44.675927982510544,48.811653650571785,77.70796643855059,52.86683304667495,18.686015171312267,29.99071461968477,20.103212790017313,67.0,2021-08-24 11:37:35,2021-08-24 11:38:42,1.0,1.0,embeddings,5.0,0.3,0.0,0.0,0.0
41.27603867682448,65.73822446349162,44.57615435868567,49.10673045993701,78.1955007462805,53.03277495231626,17.783963327486866,28.36639561512497,19.206292577793914,68.0,2021-08-24 11:05:59,2021-08-24 11:07:08,1.0,1.0,embeddings,5.0,0.3,0.0,1.0,0.0
41.26959633029777,65.69491756635944,44.61148336404425,49.11274792006474,78.17888565984252,53.097817383204536,17.74014156099686,28.243013285910155,19.152481306563384,60.0,2021-08-24 11:02:45,2021-08-24 11:03:46,1.0,1.0,embeddings,3.0,1.0,0.0,1.0,0.0
41.260533166232555,65.69875693290724,44.586609124752286,49.122813834838325,78.18421567437736,53.1156079945896,17.67369116041528,28.242380708496945,18.99961251524024,57.0,2021-08-24 10:55:11,2021-08-24 10:56:09,1.0,1.0,embeddings,1.0,0.1,0.0,1.0,0.0
41.2517155743255,65.68228298058698,44.563451052543414,49.10059900539548,78.17903515733396,53.08402074496235,17.705065281115566,28.192026450346066,19.00174197528658,55.0,2021-08-24 10:57:03,2021-08-24 10:57:59,1.0,1.0,embeddings,1.0,0.5,0.0,1.0,0.0
41.24487265277312,65.684390843138,44.524638907327834,49.07272014886838,78.15029855347751,53.03033645376818,17.76133016448737,28.286667712119446,19.007546268006827,54.0,2021-08-24 10:58:54,2021-08-24 10:59:48,1.0,1.0,embeddings,1.0,1.5,0.0,1.0,0.0
41.24214326784833,65.68278567065853,44.54583558052495,49.1167344186741,78.20648335011415,53.05782846567798,17.618369815371018,28.111692632291714,19.009856925065897,61.0,2021-08-24 11:00:47,2021-08-24 11:01:49,1.0,1.0,embeddings,3.0,0.3,0.0,1.0,0.0
41.238366634797686,65.7935581205808,44.70729013959506,48.7627191144479,77.63254166107806,52.93703378721522,18.665309195847048,30.276607499089003,20.01805919673459,62.0,2021-08-24 11:33:17,2021-08-24 11:34:20,1.0,1.0,embeddings,3.0,0.5,0.0,0.0,0.0
41.20118468058199,65.67029404781314,44.497937146778234,49.10858013786738,78.19651675896235,53.05148807480613,17.478998308725878,28.091625914365643,18.837284362694554,56.0,2021-08-24 11:01:49,2021-08-24 11:02:45,1.0,1.0,embeddings,3.0,0.5,0.0,1.0,0.0
41.18376343823054,65.68712964790933,44.55894510470836,49.04989801709691,78.1770303168703,53.07106708450576,17.585359701631443,28.21742764102637,19.022579165316156,59.0,2021-08-24 10:59:48,2021-08-24 11:00:47,1.0,1.0,embeddings,3.0,0.1,0.0,1.0,0.0
41.166010732103665,65.59942518850016,44.51599295269388,48.83649844217416,77.67549466073442,52.90144434299941,18.15454760189219,29.37121677179731,19.359638781777303,56.0,2021-08-24 11:29:21,2021-08-24 11:30:17,1.0,1.0,embeddings,1.0,1.0,0.0,0.0,0.0
41.16485577819233,65.68807528900338,44.59747571009468,48.829429315544274,77.69429613526816,52.95857920917995,18.17113516613652,29.669412750209027,19.51416521283891,61.0,2021-08-24 11:32:15,2021-08-24 11:33:17,1.0,1.0,embeddings,3.0,0.3,0.0,0.0,0.0
41.0862206958649,65.60492290238834,44.5122325226415,48.732676904806844,77.58407334067604,52.89816751359482,18.14685206903906,29.667471587525245,19.354427549781533,56.0,2021-08-24 11:28:25,2021-08-24 11:29:21,1.0,1.0,embeddings,1.0,0.5,0.0,0.0,0.0
41.071684074096666,65.63133178433809,44.55100693146612,48.714364687925325,77.63046178952911,52.9106795365333,18.143642232610738,29.63394176876512,19.471989116264584,70.0,2021-08-24 11:36:24,2021-08-24 11:37:35,1.0,1.0,embeddings,5.0,0.1,0.0,0.0,0.0
41.04627486629798,65.58909169821976,44.56785506057008,48.65589984964059,77.54739936189604,52.91059915922301,18.217399916270136,29.714168707190954,19.53962276461131,54.0,2021-08-24 11:26:33,2021-08-24 11:27:28,1.0,1.0,embeddings,1.0,0.1,0.0,0.0,0.0
41.030728746307105,65.59625143667799,44.51658391622807,48.68841109646057,77.64649169954049,52.88803007109241,18.057681695846703,29.445530648090465,19.40224545163506,56.0,2021-08-24 11:30:17,2021-08-24 11:31:14,1.0,1.0,embeddings,1.0,1.5,0.0,0.0,0.0
41.02336643892964,65.41133716951686,44.446921273133185,48.704279735839364,77.54174943051007,52.83509331185289,17.980626548200494,29.020100386537216,19.282405156974058,56.0,2021-08-24 11:27:28,2021-08-24 11:28:24,1.0,1.0,embeddings,1.0,0.3,0.0,0.0,0.0
41.02027940584039,65.56202923791277,44.49442507569096,48.68229204194987,77.59799296840045,52.89439515541507,18.034241497511957,29.454138046449792,19.294514836518626,61.0,2021-08-24 11:31:14,2021-08-24 11:32:15,1.0,1.0,embeddings,3.0,0.1,0.0,0.0,0.0
